"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Sep 27 11:50:43 GMT 2022","Tue Sep 27 11:50:52 GMT 2022","9272","","Test01FormPage","","Test01FormPage","testPasswordFieldConfirmationDifferent","testPasswordFieldConfirmationDifferent()","Jelszó mező és a jelszó megerősítése mező különböző jelszavak elfogadásának validációja"
"failed","Tue Sep 27 11:50:55 GMT 2022","Tue Sep 27 11:51:05 GMT 2022","9127","","Test01FormPage","","Test01FormPage","testLastNameFieldNumber","testLastNameFieldNumber()","Vezetéknév mező szám típusú karakter elfogadásának ellenőrzése"
"passed","Tue Sep 27 11:50:23 GMT 2022","Tue Sep 27 11:50:25 GMT 2022","2261","","Test01FormPage","","Test01FormPage","testLastNameFieldEmpty","testLastNameFieldEmpty()","Üres Vezetéknév mező validálása"
"failed","Tue Sep 27 11:51:05 GMT 2022","Tue Sep 27 11:51:14 GMT 2022","9190","","Test01FormPage","","Test01FormPage","testEmailFieldMissingDot","testEmailFieldMissingDot()","Az email címben . karakter validációja"
"failed","Tue Sep 27 11:51:17 GMT 2022","Tue Sep 27 11:51:21 GMT 2022","3627","","Test02SummaryPage","","Test02SummaryPage","testLastNameOnSummary","testLastNameOnSummary()","Vezetéknév mezőbe beírt adat megjelenése az összegző felületen."
"failed","Tue Sep 27 11:50:52 GMT 2022","Tue Sep 27 11:50:55 GMT 2022","3417","","Test01FormPage","","Test01FormPage","testPasswordFieldMasking","testPasswordFieldMasking()","Jelszó mező és a jelszó megerősítése mező maszkolása csillag karaktertípusokkal"
"failed","Tue Sep 27 11:50:34 GMT 2022","Tue Sep 27 11:50:43 GMT 2022","9261","","Test01FormPage","","Test01FormPage","testEmailFieldMissingAt","testEmailFieldMissingAt()","Az email címben @ szimbólum validációja"
"failed","Tue Sep 27 11:51:14 GMT 2022","Tue Sep 27 11:51:17 GMT 2022","3445","","Test02SummaryPage","","Test02SummaryPage","testFirstNameOnSummary","testFirstNameOnSummary()","Keresztnév mezőbe beírt adat megjelenése az összegző felületen."
"failed","Tue Sep 27 11:50:06 GMT 2022","Tue Sep 27 11:50:23 GMT 2022","16395","","Test01FormPage","","Test01FormPage","testBirthDateFutureMan","testBirthDateFutureMan()","Születési Dátum mező
ez itt egy jövőmenő."
"failed","Tue Sep 27 11:50:25 GMT 2022","Tue Sep 27 11:50:34 GMT 2022","8482","","Test01FormPage","","Test01FormPage","testFirstNameFieldMaxChar1","testFirstNameFieldMaxChar1()","""Keresztnév mező maximális karakter hossz ellenőrzése. 
Maximálisan megengedett 32 karakter.
Tesztelés 33 karakterrel."""
